-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 12/01/2019 through 12/31/2019 
Location: Latitude  44.9591   Longitude -93.2878 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 273.48 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
SZA                     CERES SYN1deg Solar Zenith Angle (Degrees) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PS                      MERRA-2 Surface Pressure (kPa) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,RH2M,PS,WD10M
2019,12,1,0,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-1.2,96.44,96.65,62.93
2019,12,1,1,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-1.24,96.38,96.66,56.4
2019,12,1,2,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-1.42,96.5,96.72,50.57
2019,12,1,3,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-1.7,96.62,96.77,46.24
2019,12,1,4,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-2.0,96.94,96.82,35.45
2019,12,1,5,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-2.37,97.06,96.9,24.74
2019,12,1,6,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-2.69,97.0,97.0,17.63
2019,12,1,7,7.28,0.4,0.12,89.25,1.6,0.26,0.0,0.0,-2.81,96.94,97.12,13.33
2019,12,1,8,12.7,0.07,0.22,82.26,6.77,1.02,0.0,0.0,-2.63,96.88,97.24,11.01
2019,12,1,9,62.23,0.17,0.2,75.05,29.92,4.15,0.02,0.08,-2.1,96.81,97.34,8.1
2019,12,1,10,49.23,0.1,0.2,69.76,22.7,3.48,0.02,0.1,-1.48,96.75,97.43,6.35
2019,12,1,11,92.13,0.16,0.2,66.88,46.92,6.91,0.05,0.3,-1.13,96.5,97.5,4.74
2019,12,1,12,270.24,0.49,0.48,66.74,125.95,17.03,0.13,0.7,-1.4,96.12,97.58,2.69
2019,12,1,13,141.38,0.29,0.2,69.37,66.27,9.2,0.06,0.33,-2.6,96.62,97.7,357.32
2019,12,1,14,141.38,0.38,0.2,74.45,63.6,8.03,0.03,0.17,-4.25,96.31,97.85,352.62
2019,12,1,15,69.34,0.34,0.21,81.5,30.23,3.62,0.01,0.05,-4.99,94.56,97.98,350.74
2019,12,1,16,10.35,0.38,0.16,88.87,2.75,0.4,0.0,0.0,-5.58,93.88,98.09,350.34
2019,12,1,17,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-6.52,94.06,98.2,347.68
2019,12,1,18,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-7.42,94.0,98.33,342.77
2019,12,1,19,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-8.54,94.69,98.42,341.93
2019,12,1,20,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-10.35,96.31,98.48,344.08
2019,12,1,21,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-12.23,98.0,98.52,347.44
2019,12,1,22,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-13.85,99.5,98.55,349.56
2019,12,1,23,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-15.22,100.0,98.57,353.59
2019,12,2,0,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-16.38,100.0,98.59,355.46
2019,12,2,1,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-17.43,100.0,98.66,349.58
2019,12,2,2,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-18.31,100.0,98.75,341.77
2019,12,2,3,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-19.18,100.0,98.8,339.58
2019,12,2,4,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-19.81,100.0,98.82,341.97
2019,12,2,5,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-20.1,100.0,98.83,345.28
2019,12,2,6,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-19.8,100.0,98.82,352.08
2019,12,2,7,9.87,0.59,0.14,89.32,1.85,0.25,0.0,0.0,-18.51,100.0,98.79,1.08
2019,12,2,8,115.41,0.62,0.48,82.43,43.52,4.59,0.01,0.05,-16.64,97.94,98.79,3.54
2019,12,2,9,266.4,0.74,0.55,75.22,107.58,12.41,0.05,0.27,-14.32,90.31,98.78,73.07
2019,12,2,10,376.59,0.78,0.56,69.92,155.95,19.42,0.13,0.7,-12.42,93.06,98.76,187.56
2019,12,2,11,399.54,0.73,0.47,67.04,168.67,21.57,0.19,0.98,-10.5,94.94,98.77,219.33
2019,12,2,12,409.16,0.74,0.47,66.88,173.12,22.13,0.2,1.0,-8.63,96.12,98.68,199.51
2019,12,2,13,319.2,0.65,0.48,69.48,138.12,17.38,0.13,0.67,-6.99,96.56,98.59,186.8
2019,12,2,14,127.89,0.34,0.21,74.54,57.3,7.78,0.04,0.2,-5.92,95.88,98.56,188.69
2019,12,2,15,26.3,0.12,0.22,81.57,14.0,1.88,0.01,0.02,-5.63,96.25,98.51,178.99
2019,12,2,16,8.63,0.32,0.15,88.9,2.3,0.34,0.0,0.0,-6.32,96.75,98.41,165.49
2019,12,2,17,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-6.58,96.0,98.28,164.44
2019,12,2,18,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-6.1,95.69,98.18,171.78
2019,12,2,19,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-5.82,95.69,98.13,184.33
2019,12,2,20,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-5.93,96.0,98.07,192.97
2019,12,2,21,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-6.12,96.5,97.94,193.06
2019,12,2,22,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-6.69,97.44,97.87,198.97
2019,12,2,23,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-8.02,98.69,97.75,200.66
2019,12,3,0,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-9.31,100.0,97.63,206.15
2019,12,3,1,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-10.06,100.0,97.53,216.74
2019,12,3,2,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-10.62,100.0,97.46,232.58
2019,12,3,3,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-10.86,100.0,97.41,246.83
2019,12,3,4,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-10.84,100.0,97.36,257.28
2019,12,3,5,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-10.7,100.0,97.33,263.84
2019,12,3,6,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-10.18,100.0,97.29,265.76
2019,12,3,7,8.3,0.55,0.27,89.38,1.58,0.24,0.0,0.0,-9.4,100.0,97.26,262.45
2019,12,3,8,71.55,0.4,0.46,82.6,30.88,3.95,0.01,0.05,-8.55,100.0,97.24,265.8
2019,12,3,9,197.86,0.56,0.41,75.39,84.92,10.22,0.05,0.25,-6.9,99.81,97.23,272.25
2019,12,3,10,344.09,0.72,0.5,70.09,147.0,18.23,0.13,0.7,-4.61,98.81,97.22,275.58
2019,12,3,11,417.76,0.77,0.52,67.19,179.17,22.85,0.2,1.08,-2.7,97.81,97.19,276.01
2019,12,3,12,421.22,0.77,0.49,67.02,180.3,22.84,0.21,1.08,-0.79,95.06,97.15,283.63
2019,12,3,13,368.07,0.76,0.46,69.59,156.75,19.09,0.14,0.73,-0.05,95.12,97.15,278.08
2019,12,3,14,263.25,0.71,0.45,74.63,110.98,12.65,0.05,0.3,0.19,96.44,97.16,267.59
2019,12,3,15,103.02,0.51,0.48,81.63,43.25,4.79,0.02,0.05,0.26,96.69,97.17,263.48
2019,12,3,16,10.11,0.38,0.37,88.92,2.85,0.44,0.0,0.0,0.19,96.56,97.16,266.0
2019,12,3,17,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-0.78,96.81,97.15,268.49
2019,12,3,18,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-2.09,97.44,97.13,268.08
2019,12,3,19,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-3.33,98.56,97.09,267.08
2019,12,3,20,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-4.06,99.56,97.04,266.3
2019,12,3,21,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-4.2,99.81,97.02,268.7
2019,12,3,22,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-3.99,99.62,97.04,271.84
2019,12,3,23,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-3.62,99.44,97.08,274.59
2019,12,4,0,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-3.46,99.5,97.15,278.73
2019,12,4,1,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-3.6,99.62,97.2,281.28
2019,12,4,2,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-3.88,99.88,97.26,281.04
2019,12,4,3,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-4.17,99.88,97.3,280.08
2019,12,4,4,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-4.47,99.94,97.32,279.83
2019,12,4,5,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-4.81,100.0,97.35,279.29
2019,12,4,6,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-5.06,100.0,97.4,278.55
2019,12,4,7,0.0,-999.0,-999.0,90.0,0.0,0.0,0.0,0.0,-5.23,100.0,97.45,278.55
2019,12,4,8,109.6,0.58,0.52,82.2,43.65,4.82,0.01,0.05,-5.08,100.0,97.52,280.35
2019,12,4,9,243.95,0.7,0.47,75.55,100.8,11.48,0.05,0.23,-3.74,98.94,97.59,287.53
2019,12,4,10,355.16,0.75,0.49,70.24,150.15,18.3,0.12,0.62,-1.9,96.94,97.65,289.71
2019,12,4,11,417.08,0.77,0.52,67.34,177.25,22.53,0.19,0.98,-0.57,95.62,97.68,288.91
2019,12,4,12,420.8,0.77,0.54,67.14,179.1,22.96,0.2,1.02,0.05,95.69,97.69,288.03
2019,12,4,13,364.97,0.75,0.48,69.7,154.67,19.03,0.14,0.73,0.18,96.62,97.7,283.45
2019,12,4,14,255.9,0.7,0.39,74.71,107.15,12.21,0.05,0.3,0.24,96.62,97.75,285.34
